City,Latitude,Longitude,Maxium Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date,Hemisphere
Hauterive,46.0901,3.4459,69.8,35,0,12.66,FR,1619371902,Northern Hemisphere
Henties Bay,-22.116,14.2845,64.0,87,1,5.99,NA,1619371671,Southern Hemisphere
Atambua,-9.1061,124.8925,69.26,81,48,5.3,ID,1619371902,Southern Hemisphere
Muzhi,65.3667,64.6667,37.35,92,100,9.78,RU,1619371903,Northern Hemisphere
Fortuna,40.5982,-124.1573,52.0,100,75,11.5,US,1619371903,Northern Hemisphere
Rāwah,34.4816,41.9093,88.52,13,98,11.5,IQ,1619371903,Northern Hemisphere
Port Hardy,50.6996,-127.4199,48.2,87,90,4.61,CA,1619371904,Northern Hemisphere
Letlhakane,-21.4167,25.5833,69.3,23,0,0.78,BW,1619371904,Southern Hemisphere
Khovd,48.0056,91.6419,29.68,29,52,2.89,MN,1619371904,Northern Hemisphere
San Juan Bautista,-14.0108,-75.7358,69.8,83,20,8.05,PE,1619371905,Southern Hemisphere
Tommot,58.9564,126.2925,29.16,96,100,2.73,RU,1619371905,Northern Hemisphere
Waslala,13.2333,-85.3833,78.8,61,40,6.91,NI,1619371905,Northern Hemisphere
Northam,51.0333,-4.2167,57.99,51,2,11.99,GB,1619371906,Northern Hemisphere
Märsta,59.6216,17.8548,36.0,93,75,11.5,SE,1619371906,Northern Hemisphere
Buchanan,5.8808,-10.0467,86.0,74,20,9.22,LR,1619371906,Northern Hemisphere
Soe,-9.8607,124.284,61.45,85,62,2.95,ID,1619371906,Southern Hemisphere
Tahoua,14.8888,5.2692,104.0,13,0,4.61,NE,1619371907,Northern Hemisphere
Tieling,42.2931,123.8414,52.68,25,100,4.09,CN,1619371907,Northern Hemisphere
Cabo San Lucas,22.8909,-109.9124,82.99,34,40,8.05,MX,1619371756,Northern Hemisphere
Vao,-22.6667,167.4833,73.06,77,96,7.78,NC,1619371907,Southern Hemisphere
Ambilobe,-13.2,49.05,73.35,81,99,4.0,MG,1619371612,Southern Hemisphere
Wanning,18.8003,110.3967,78.15,90,54,6.73,CN,1619371908,Northern Hemisphere
Quelimane,-17.8786,36.8883,78.8,83,0,8.05,MZ,1619371909,Southern Hemisphere
Malbork,54.0359,19.0266,39.0,74,87,7.47,PL,1619371909,Northern Hemisphere
Kupang,-10.1667,123.5833,74.52,74,83,7.76,ID,1619371874,Southern Hemisphere
Nyurba,63.2842,118.3319,32.32,99,100,5.19,RU,1619371910,Northern Hemisphere
Wewak,-3.5534,143.6268,75.52,90,100,8.52,PG,1619371910,Southern Hemisphere
Borovoy,55.4333,86.0833,41.0,45,0,6.71,RU,1619371910,Northern Hemisphere
Fort Nelson,58.8053,-122.7002,41.0,38,40,3.44,CA,1619371811,Northern Hemisphere
Lahaina,20.8783,-156.6825,73.4,73,20,11.5,US,1619371911,Northern Hemisphere
Hue,16.4667,107.6,82.4,89,40,2.3,VN,1619371911,Northern Hemisphere
Bonfim,3.0833,-59.95,84.56,62,100,7.58,BR,1619371912,Northern Hemisphere
Gawler,-34.6,138.7333,53.01,89,0,5.99,AU,1619371813,Southern Hemisphere
Carnarvon,-24.8667,113.6333,64.4,88,1,9.22,AU,1619371667,Southern Hemisphere
Balad,34.0164,44.1453,91.11,12,36,8.7,IQ,1619371912,Northern Hemisphere
Klyuchi,52.2667,79.1667,45.01,43,99,9.69,RU,1619371913,Northern Hemisphere
Tual,-5.6667,132.75,83.86,62,100,6.62,ID,1619371913,Southern Hemisphere
Saint-Leu,-21.15,55.2833,78.8,73,0,23.02,RE,1619371891,Southern Hemisphere
Sioux Lookout,50.1001,-91.917,46.4,27,75,10.36,CA,1619371887,Northern Hemisphere
Puerto Quijarro,-17.7833,-57.7667,70.14,96,100,4.29,BO,1619371914,Southern Hemisphere
Ignatovka,53.9479,47.6536,39.78,60,69,15.99,RU,1619371915,Northern Hemisphere
Bilma,18.6853,12.9164,101.28,7,7,8.03,NE,1619371786,Northern Hemisphere
Khani,41.9563,42.9566,53.6,87,75,8.05,GE,1619371915,Northern Hemisphere
Jiexiu,37.0244,111.9125,54.63,70,100,5.66,CN,1619371916,Northern Hemisphere
Saint-Augustin,51.226,-58.6502,46.9,43,70,12.39,CA,1619371916,Northern Hemisphere
Katsuura,35.1333,140.3,53.01,31,100,3.0,JP,1619371917,Northern Hemisphere
Cairns,-16.9167,145.7667,75.2,94,75,9.22,AU,1619371917,Southern Hemisphere
Ghugus,19.9333,79.1333,93.29,16,66,3.98,IN,1619371917,Northern Hemisphere
Andijan,40.7821,72.3442,57.2,62,51,6.71,UZ,1619371918,Northern Hemisphere
Clyde River,70.4692,-68.5914,23.0,100,40,23.02,CA,1619371918,Northern Hemisphere
Baláo,-2.9167,-79.8167,86.0,62,75,9.22,EC,1619371918,Southern Hemisphere
Mahanoro,-19.9,48.8,73.4,91,100,4.36,MG,1619371697,Southern Hemisphere
Port Hedland,-20.3167,118.5667,66.2,88,0,8.05,AU,1619371919,Southern Hemisphere
Bathsheba,13.2167,-59.5167,86.0,48,20,23.02,BB,1619371919,Northern Hemisphere
Kachīry,53.0675,76.1036,49.33,33,100,16.91,KZ,1619371920,Northern Hemisphere
Meïganga,6.5167,14.3,68.41,84,99,3.89,CM,1619371920,Northern Hemisphere
Kerman,30.2832,57.0788,64.4,42,40,4.61,IR,1619371921,Northern Hemisphere
San Cristobal,7.7669,-72.225,89.6,58,20,11.5,VE,1619371921,Northern Hemisphere
Palauig,15.435,119.9045,77.22,68,5,6.49,PH,1619371922,Northern Hemisphere
Ketchikan,55.3422,-131.6461,48.2,49,1,8.05,US,1619371652,Northern Hemisphere
Phan Thiet,10.9333,108.1,80.15,84,10,3.67,VN,1619371730,Northern Hemisphere
Merrill,45.1805,-89.6835,44.6,39,40,6.91,US,1619371831,Northern Hemisphere
Ilebo,-4.3167,20.5833,73.09,93,98,0.81,CD,1619371924,Southern Hemisphere
Prado,-17.3411,-39.2208,81.28,69,9,10.27,BR,1619371924,Southern Hemisphere
Timrå,62.487,17.3257,42.8,33,0,14.97,SE,1619371925,Northern Hemisphere
Sencha,50.2548,33.346,43.32,76,84,3.98,UA,1619371925,Northern Hemisphere
Kinablangan,7.6947,126.5503,77.81,85,98,2.42,PH,1619371925,Northern Hemisphere
Karabük,41.2049,32.6277,55.08,96,94,3.31,TR,1619371926,Northern Hemisphere
Changping,40.2186,116.2197,59.0,51,0,6.71,CN,1619371926,Northern Hemisphere
Dunedin,-45.8742,170.5036,46.99,44,76,4.0,NZ,1619371926,Southern Hemisphere
Adrar,20.5022,-10.0711,96.67,11,5,9.57,MR,1619371927,Northern Hemisphere
Taltal,-25.4,-70.4833,65.68,75,19,4.63,CL,1619371927,Southern Hemisphere
Mogadishu,2.0371,45.3438,83.82,73,40,13.8,SO,1619371928,Northern Hemisphere
Kyren,51.6828,102.1408,30.09,91,87,2.77,RU,1619371928,Northern Hemisphere
Cangzhou,38.3167,116.8667,49.24,28,38,4.21,CN,1619371928,Northern Hemisphere
Fairbanks,64.8378,-147.7164,46.99,56,1,0.13,US,1619371929,Northern Hemisphere
Arman',59.7,150.1667,9.37,79,26,8.86,RU,1619371929,Northern Hemisphere
Leixlip,53.3658,-6.4956,50.0,66,0,12.66,IE,1619371929,Northern Hemisphere
Hare Bay,48.8499,-54.0148,53.6,40,47,12.66,CA,1619371930,Northern Hemisphere
Superior,46.7208,-92.1041,44.6,29,1,12.66,US,1619371930,Northern Hemisphere
Conakry,9.538,-13.6773,89.6,45,0,9.22,GN,1619371930,Northern Hemisphere
Maun,-19.9833,23.4167,69.8,49,0,3.44,BW,1619371931,Southern Hemisphere
Grand Island,40.925,-98.342,68.0,42,1,23.02,US,1619371815,Northern Hemisphere
Kutum,14.2,24.6667,84.33,12,67,7.38,SD,1619371931,Northern Hemisphere
Poronaysk,49.2167,143.1167,28.24,74,83,5.46,RU,1619371932,Northern Hemisphere
Jutaí,-5.1833,-68.9,75.42,92,86,3.56,BR,1619371932,Southern Hemisphere
Maceió,-9.6658,-35.7353,86.0,58,40,8.05,BR,1619371765,Southern Hemisphere
Opuwo,-18.0607,13.84,73.6,37,30,6.62,NA,1619371926,Southern Hemisphere
Ilulissat,69.2167,-51.1,51.8,40,20,21.85,GL,1619371845,Northern Hemisphere
Arkhipo-Osipovka,44.37,38.52,50.97,84,100,13.2,RU,1619371934,Northern Hemisphere
Myitkyina,25.3833,97.4,76.93,30,29,1.5,MM,1619371934,Northern Hemisphere
Saldanha,-33.0117,17.9442,60.8,88,100,4.61,ZA,1619371645,Southern Hemisphere
Gamba,-2.65,10.0,79.47,84,80,5.82,GA,1619371935,Southern Hemisphere
Bida,9.0833,6.0167,92.43,42,99,4.94,NG,1619371935,Northern Hemisphere
Borgarnes,64.5383,-21.9206,50.0,80,100,21.0,IS,1619371936,Northern Hemisphere
Neryungri,56.6709,124.6491,27.39,98,100,0.67,RU,1619371910,Northern Hemisphere
Kamyshlov,56.8428,62.7111,48.63,66,94,7.52,RU,1619371936,Northern Hemisphere
Grand Gaube,-20.0064,57.6608,78.01,80,100,8.99,MU,1619371936,Southern Hemisphere
Danshui,22.7984,114.4672,73.99,99,100,1.01,CN,1619371937,Northern Hemisphere
Noyabrsk,63.1994,75.4507,33.6,98,100,11.61,RU,1619371937,Northern Hemisphere
Harwich,51.9419,1.2844,46.99,52,69,15.01,GB,1619371938,Northern Hemisphere
Uyuni,-20.4597,-66.825,51.51,12,0,17.18,BO,1619371939,Southern Hemisphere
Pāsighāt,28.0667,95.3333,75.31,35,2,3.89,IN,1619371939,Northern Hemisphere
Asău,46.4333,26.4,51.01,44,78,6.06,RO,1619371940,Northern Hemisphere
Xicoténcatl,23.0167,-98.8833,91.99,31,20,5.01,MX,1619371940,Northern Hemisphere
Popondetta,-8.7537,148.2534,71.96,96,100,3.22,PG,1619371940,Southern Hemisphere
Minzhu,43.7286,127.3447,38.93,42,41,2.62,CN,1619371941,Northern Hemisphere
Las Lomas,8.4333,-82.4,89.6,58,40,3.44,PA,1619371941,Northern Hemisphere
Tingo María,-9.2895,-76.0088,88.23,48,24,3.06,PE,1619371941,Southern Hemisphere
Yunyang,33.4474,112.7142,51.96,90,100,1.3,CN,1619371942,Northern Hemisphere
Coahuayana Viejo,18.7333,-103.6833,90.79,35,97,7.58,MX,1619371939,Northern Hemisphere
Bloemfontein,-29.1211,26.214,60.8,33,0,3.44,ZA,1619371942,Southern Hemisphere
Rancho Palos Verdes,33.7445,-118.387,62.01,63,75,3.44,US,1619371942,Northern Hemisphere
Shebunino,46.4339,141.8603,30.06,79,56,7.47,RU,1619371943,Northern Hemisphere
San Patricio,28.017,-97.5169,86.0,45,1,12.66,US,1619371899,Northern Hemisphere
Karratha,-20.7377,116.8463,77.81,60,0,5.03,AU,1619371943,Southern Hemisphere
São José da Coroa Grande,-8.8978,-35.1478,82.13,72,31,9.84,BR,1619371943,Southern Hemisphere
Mossamedes,-15.1961,12.1522,78.53,71,5,16.64,AO,1619371944,Southern Hemisphere
Garissa,-0.4536,39.6401,87.57,51,99,20.58,KE,1619371944,Southern Hemisphere
Shakiso,5.75,38.9167,59.85,96,90,1.59,ET,1619371945,Northern Hemisphere
Rindal,63.0565,9.2124,33.26,87,100,3.11,NO,1619371945,Northern Hemisphere
Tongliao,43.6125,122.2653,52.56,25,100,7.52,CN,1619371945,Northern Hemisphere
Luangwa,-15.6167,30.4167,73.33,55,39,1.74,ZM,1619371946,Southern Hemisphere
Tweed,44.4751,-77.3162,55.4,62,75,16.11,CA,1619371776,Northern Hemisphere
Bengbu,32.9408,117.3608,58.48,95,100,3.0,CN,1619371946,Northern Hemisphere
Babushkin,51.7122,105.8647,33.3,92,100,12.33,RU,1619371947,Northern Hemisphere
Williston,48.147,-103.618,42.01,77,100,5.99,US,1619371803,Northern Hemisphere
Luanda,-8.8368,13.2343,82.4,83,20,8.05,AO,1619371741,Southern Hemisphere
Beitbridge,-22.2167,30.0,77.11,18,0,7.7,ZW,1619371947,Southern Hemisphere
Macusani,-14.0833,-70.4333,50.25,47,29,9.19,PE,1619371948,Southern Hemisphere
Mabaruma,8.2,-59.7833,80.11,84,84,6.62,GY,1619371948,Northern Hemisphere
Noumea,-22.2763,166.4572,69.8,100,90,2.3,NC,1619371804,Southern Hemisphere
Olafsvik,64.8945,-23.7142,44.67,84,71,6.69,IS,1619371837,Northern Hemisphere
Ayan,56.45,138.1667,21.07,85,16,4.97,RU,1619371949,Northern Hemisphere
Den Helder,52.9599,4.7593,46.0,61,90,10.36,NL,1619371949,Northern Hemisphere
Saint Andrews,34.0454,-81.1293,73.0,53,75,11.5,US,1619371949,Northern Hemisphere
Sola,-13.8833,167.55,81.93,73,100,3.91,VU,1619371950,Southern Hemisphere
Cham,47.1821,8.4636,64.4,29,0,10.36,CH,1619371950,Northern Hemisphere
Muswellbrook,-32.2667,150.9,48.0,83,10,1.43,AU,1619371950,Southern Hemisphere
Leningradskiy,69.3833,178.4167,14.76,89,17,3.22,RU,1619371951,Northern Hemisphere
Xining,36.6167,101.7667,42.4,66,0,5.19,CN,1619371951,Northern Hemisphere
Jaisalmer,26.9147,70.9181,90.48,10,0,7.99,IN,1619371952,Northern Hemisphere
Puerto Peñasco,31.3167,-113.5333,71.01,76,0,13.0,MX,1619371952,Northern Hemisphere
Mirny,62.5353,113.9611,32.22,98,100,6.38,RU,1619371952,Northern Hemisphere
Soavinandriana,-19.1667,46.7333,59.77,89,100,4.56,MG,1619371953,Southern Hemisphere
Vihti,60.417,24.3197,37.99,94,100,7.0,FI,1619371953,Northern Hemisphere
Honiara,-9.4333,159.95,77.99,85,89,2.17,SB,1619371954,Southern Hemisphere
Vestmanna,62.1564,-7.1664,46.4,93,100,11.5,FO,1619371954,Northern Hemisphere
Imbituba,-28.24,-48.6703,75.2,78,75,11.5,BR,1619371846,Southern Hemisphere
Chapais,49.7834,-74.8492,48.2,61,90,5.75,CA,1619371954,Northern Hemisphere
Doba,8.65,16.85,90.66,35,51,6.33,TD,1619371955,Northern Hemisphere
La Santisima Trinidad,-14.8333,-64.9,71.6,88,90,11.5,BO,1619371826,Southern Hemisphere
Luena,-11.7833,19.9167,66.7,57,77,4.03,AO,1619371861,Southern Hemisphere
Siavonga,-16.5382,28.7088,76.96,60,13,3.42,ZM,1619371956,Southern Hemisphere
Portobelo,9.55,-79.65,91.99,55,20,3.44,PA,1619371956,Northern Hemisphere
Kaeo,-35.1,173.7833,50.0,94,82,1.01,NZ,1619371957,Southern Hemisphere
Nchelenge,-9.3451,28.734,74.34,72,73,1.43,ZM,1619371957,Southern Hemisphere
Pundaguitan,6.3711,126.1689,82.42,75,65,9.64,PH,1619371957,Northern Hemisphere
Iquitos,-3.7481,-73.2472,87.8,70,40,5.75,PE,1619371957,Southern Hemisphere
Sirsa,29.5333,75.0167,81.91,11,0,1.68,IN,1619371958,Northern Hemisphere
Los Llanos de Aridane,28.6585,-17.9182,69.8,64,75,2.3,ES,1619371864,Northern Hemisphere
Valparaíso,-33.0393,-71.6273,59.0,94,20,5.75,CL,1619371960,Southern Hemisphere
Keti Bandar,24.1447,67.4497,82.53,72,0,15.97,PK,1619371960,Northern Hemisphere
Olinda,-8.0089,-34.8553,80.6,78,40,11.5,BR,1619371960,Southern Hemisphere
Martapura,-3.4167,114.85,80.6,83,90,2.3,ID,1619371961,Southern Hemisphere
Decatur,39.8403,-88.9548,57.99,50,1,5.28,US,1619371961,Northern Hemisphere
Matara,5.9485,80.5353,78.19,88,44,3.15,LK,1619371861,Northern Hemisphere
Alexandria,31.2156,29.9553,66.2,77,40,13.8,EG,1619371806,Northern Hemisphere
Andros Town,24.7,-77.7667,86.0,66,75,13.8,BS,1619371961,Northern Hemisphere
Nanortalik,60.1432,-45.2371,42.69,73,100,13.15,GL,1619371962,Northern Hemisphere
Isangel,-19.55,169.2667,76.84,82,100,11.59,VU,1619371962,Southern Hemisphere
San Salvo,42.0433,14.7272,62.01,51,46,4.61,IT,1619371962,Northern Hemisphere
Kassala,15.451,36.4,95.83,17,22,1.7,SD,1619371963,Northern Hemisphere
Am Timan,11.0297,20.2827,91.38,35,28,13.22,TD,1619371666,Northern Hemisphere
Belyy Yar,53.6039,91.3903,41.0,45,0,4.47,RU,1619371875,Northern Hemisphere
Iquique,-20.2208,-70.1431,71.6,46,0,17.27,CL,1619371875,Southern Hemisphere
Shimoda,34.6667,138.95,54.0,48,69,1.01,JP,1619371964,Northern Hemisphere
Khor,47.8861,134.9464,30.94,42,15,5.57,RU,1619371964,Northern Hemisphere
Ulaangom,49.9811,92.0667,27.54,44,72,9.08,MN,1619371964,Northern Hemisphere
Naze,28.3667,129.4833,64.72,67,100,11.14,JP,1619371965,Northern Hemisphere
Impfondo,1.6381,18.0667,76.05,82,100,3.44,CG,1619371965,Northern Hemisphere
Irtyshskiy,58.3333,68.1333,45.3,55,99,10.51,RU,1619371966,Northern Hemisphere
Puerto Baquerizo Moreno,-0.9,-89.6,84.2,70,20,14.97,EC,1619371957,Southern Hemisphere
Pascagoula,30.3658,-88.5561,75.2,50,1,8.05,US,1619371966,Northern Hemisphere
Rongcheng,30.634,117.8517,59.59,98,100,1.59,CN,1619371966,Northern Hemisphere
Zhigalovo,54.8097,105.1578,26.92,97,100,3.22,RU,1619371967,Northern Hemisphere
Yurino,56.2942,46.3039,39.2,65,40,29.08,RU,1619371967,Northern Hemisphere
Carballo,43.213,-8.691,59.0,93,100,5.99,ES,1619371967,Northern Hemisphere
Vostok,46.4856,135.8833,23.23,55,6,4.79,RU,1619371944,Northern Hemisphere
Manaus,-3.1019,-60.025,84.2,79,40,3.44,BR,1619371833,Southern Hemisphere
Sheboygan,43.7333,-87.9334,44.01,45,1,6.91,US,1619371969,Northern Hemisphere
Nemuro,43.3236,145.575,32.43,68,37,20.24,JP,1619371969,Northern Hemisphere
Ferme-Neuve,46.7001,-75.4493,46.4,93,100,5.75,CA,1619371969,Northern Hemisphere
Bor,56.3567,44.0669,37.4,87,90,13.42,RU,1619371970,Northern Hemisphere
Tezu,27.9167,96.1667,80.76,20,38,4.38,IN,1619371971,Northern Hemisphere
Charters Towers,-20.1,146.2667,67.33,92,98,8.25,AU,1619371971,Southern Hemisphere
Mana,5.6592,-53.7767,82.24,77,68,10.29,GF,1619371797,Northern Hemisphere
Urusha,54.05,122.9,36.57,73,100,0.92,RU,1619371971,Northern Hemisphere
Le Port,-20.9373,55.2919,75.2,88,90,18.41,RE,1619371732,Southern Hemisphere
Soria,41.6667,-2.6667,50.0,90,100,1.01,ES,1619371972,Northern Hemisphere
Kamakwie,9.5,-12.2333,99.99,22,52,4.56,SL,1619371931,Northern Hemisphere
Saint-François,46.4154,3.9054,68.0,40,0,9.22,FR,1619371972,Northern Hemisphere
